,,,,,,,,,,,,,,,,,total unique,total analysed,total missing,total added,total missing and added,net total missing
shop _( xname coffee providing _( food chinese range _( moderate price )_ )_ )_ new_sent located _( it centre city )_ new_sent 1 _( it 5 _( rating customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food English,2,price Range high,2,customer rating 1 out of 5,2,family Friendly yes,1,near xnear,1,added,,,,3,1,0,0,
shop _( xname friendly family coffee located xnear )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food English,1,price Range moderate,1,customer rating 1 out of 5,2,area city centre,1,family Friendly no,2,near xnear,1,added,,2,1,0,0,
shop _( xname coffee providing _( food english range _( moderate price )_ )_ )_ new_sent located _( it centre _( city xnear )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food Chinese,1,price Range moderate,1,customer rating 3 out of 5,1,area riverside,1,family Friendly no,2,added,,,,1,1,0,0,
shop _( xname coffee providing _( food chinese range _( moderate price )_ )_ )_ new_sent located _( it riverside )_ new_sent 3 _( it rating customer 5 )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food Chinese,1,price Range £ 20 - 25,1,customer rating high,1,area riverside,1,family Friendly yes,2,added,,,,1,1,0,0,
shop _( xname coffee providing _( food chinese range _( £ _( 20 25 )_ price )_ )_ )_ new_sent located _( it riverside )_ new_sent high _( it rating customer )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food Chinese,1,customer rating average,1,area riverside,1,family Friendly yes,2,near xnear,1,added,,,,1,1,0,0,
shop _( xname coffee providing _( food chinese )_ )_ new_sent located _( it riverside )_ new_sent xnear it new_sent average _( rating _( its customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food Chinese,1,customer rating low,1,area riverside,1,near xnear,1,added,,,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese )_ )_ new_sent located _( it riverside )_ new_sent xnear it new_sent low _( it rating customer )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,customer rating 3 out of 5,1,area riverside,1,family Friendly yes,1,near xnear,1,added,,,,,,,,0,0,0,0,
restaurant _( xname friendly kid riverside xnear )_ new_sent has _( it rating _( customer 3 5 )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food English,1,price Range high,1,customer rating 1 out of 5,1,area riverside,1,near xnear,1,added,,,,0,0,0,0,
shop _( xname priced high coffee located _( riverside xnear )_ )_ new_sent serves _( it food english has _( and rating _( customer 1 5 )_ )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food English,2,customer rating 5 out of 5,2,area riverside,2,family Friendly yes,1,added,,,,,,3,1,0,0,
shop _( xname friendly family coffee located _( centre city )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food Chinese,1,customer rating 1 out of 5,1,family Friendly yes,2,near xnear,1,added,,,,,,1,1,0,0,
shop _( xname coffee providing _( food chinese )_ )_ new_sent xnear it new_sent 1 _( it 5 _( rating customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food English,2,price Range less than £ 20,1,area riverside,2,near xnear,1,added,,,,,,2,1,0,0,
shop _( xname priced low coffee located _( next xnear )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,customer rating average,1,family Friendly no,1,near xnear,1,added,,,,,,,,,,0,0,0,0,
has _( xname rating _( average customer )_ friendly _( and not family )_ )_ new_sent located _( it xnear )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food English,1,price Range high,1,area city centre,1,near xnear,1,added,,,,,,0,0,0,0,
shop _( xname coffee serving _( food english range _( price high )_ )_ )_ new_sent located _( it centre _( city xnear )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food English,1,price Range high,1,customer rating average,2,area city centre,1,family Friendly yes,1,near xnear,1,added,,1,1,0,0,
shop _( xname friendly child coffee serving _( food english range _( price high )_ )_ )_ new_sent located _( it centre _( city xnear )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food Chinese,1,price Range £ 20 - 25,1,customer rating high,1,area city centre,1,family Friendly no,2,near xnear,1,added,,1,1,0,0,
shop _( xname coffee providing _( food chinese range _( £ _( 20 25 )_ price )_ )_ )_ new_sent located _( it centre city )_ new_sent xnear it new_sent high _( it rating customer )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,customer rating 3 out of 5,1,family Friendly yes,1,near xnear,1,added,,,,,,,,,,0,0,0,0,
has _( xname xnear rating _( customer 3 5 )_ friendly _( and kid )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food English,1,price Range moderate,1,customer rating 1 out of 5,1,area riverside,1,family Friendly no,2,added,,,,1,1,0,0,
shop _( xname coffee providing _( food english range _( moderate price )_ )_ )_ new_sent located _( it riverside )_ new_sent 1 _( it 5 _( rating customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food English,1,price Range less than £ 20,1,customer rating low,1,area city centre,1,near xnear,1,added,,,,0,0,0,0,
shop _( xname coffee providing _( food english range _( £ _( less 20 )_ price )_ )_ )_ new_sent located _( it centre city )_ new_sent xnear it new_sent low _( it rating customer )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food English,1,customer rating average,1,area riverside,1,family Friendly no,1,near xnear,1,added,,,,0,0,0,0,
shop _( xname coffee located _( riverside xnear )_ )_ new_sent serves _( it food english friendly _( and not family )_ )_ new_sent has _( it rating _( average customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food English,2,price Range high,1,customer rating average,2,near xnear,1,added,,,,,,2,1,0,0,
shop _( xname priced high coffee located xnear )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food Chinese,1,customer rating 5 out of 5,1,area riverside,1,family Friendly yes,1,near xnear,1,added,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese )_ )_ new_sent located _( it riverside )_ new_sent xnear it new_sent 5 _( it rating customer 5 )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food English,1,customer rating low,2,area riverside,2,family Friendly no,2,near xnear,1,added,,,,3,1,0,0,
shop _( xname coffee providing _( food english )_ )_ new_sent located _( it xnear )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food English,1,price Range cheap,1,customer rating average,1,area city centre,1,near xnear,1,added,,,,0,0,0,0,
shop _( xname cheap coffee serves _( food english )_ )_ new_sent has _( it rating _( average customer )_ located _( and centre _( city xnear )_ )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,customer rating 5 out of 5,1,area city centre,1,family Friendly no,1,added,,,,,,,,,,0,0,0,0,
restaurant _( xname rated highly centre city )_ new_sent friendly _( it not family )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food Chinese,1,price Range less than £ 20,1,area riverside,1,near xnear,1,added,,,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( £ _( less 20 )_ price )_ )_ )_ new_sent located _( it riverside )_ new_sent xnear it,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,customer rating low,1,family Friendly no,1,added,,,,,,,,,,,,0,0,0,0,
has _( xname rating _( low customer )_ friendly _( and not family )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food English,2,customer rating low,2,area riverside,2,family Friendly yes,1,near xnear,1,added,,,,3,1,0,0,
shop _( xname friendly family coffee located xnear )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food Chinese,1,price Range moderate,1,customer rating 3 out of 5,1,family Friendly no,2,added,,,,,,1,1,0,0,
shop _( xname coffee providing _( food chinese range _( moderate price )_ )_ )_ new_sent 3 _( it rating customer 5 )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food English,2,customer rating average,2,area riverside,2,family Friendly yes,1,near xnear,1,added,,,,3,1,0,0,
shop _( xname friendly family coffee located xnear )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food English,1,customer rating low,1,area city centre,1,family Friendly no,1,near xnear,1,added,,,,0,0,0,0,
shop _( xname coffee providing _( food english )_ )_ new_sent located _( it centre city xnear )_ new_sent low _( rating customer friendly _( and it not family )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food Chinese,1,customer rating average,1,family Friendly yes,2,near xnear,1,added,,,,,,1,1,0,0,
shop _( xname coffee providing _( food chinese )_ )_ new_sent xnear it new_sent average _( rating _( its customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food English,2,price Range high,2,customer rating average,2,family Friendly yes,1,near xnear,1,added,,,,3,1,0,0,
shop _( xname friendly family coffee located xnear )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food English,1,price Range moderate,1,area riverside,1,family Friendly yes,1,near xnear,1,added,,,,0,0,0,0,
shop _( xname priced moderately friendly kid coffee serves _( food english )_ )_ new_sent located _( it riverside xnear )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food English,1,price Range moderate,1,customer rating 3 out of 5,1,area city centre,1,added,,,,,,0,0,0,0,
shop _( xname priced moderately coffee serving _( food english centre city )_ )_ new_sent has _( it rating _( customer 3 5 )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food English,1,price Range moderate,1,area city centre,1,family Friendly yes,1,near xnear,1,added,,,,0,0,0,0,
shop _( xname friendly kid coffee serving _( food english range _( moderate price )_ )_ )_ new_sent located _( it centre _( city xnear )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food Chinese,1,price Range high,1,customer rating 1 out of 5,1,area riverside,1,family Friendly no,2,near xnear,,added,,1,1,0,0,
shop _( xname coffee providing _( food chinese range _( price high )_ )_ )_ new_sent located _( it riverside )_ new_sent xnear it new_sent 1 _( it 5 _( rating customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food English,1,price Range more than £ 30,1,area riverside,1,family Friendly yes,1,near xnear,1,added,,,,0,0,0,0,
shop _( xname friendly child coffee serving _( food english range _( price £ _( more 30 )_ )_ )_ )_ new_sent located _( it riverside xnear )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food Chinese,1,price Range moderate,1,customer rating 1 out of 5,1,area riverside,1,family Friendly yes,2,added,,,,1,1,0,0,
shop _( xname coffee providing _( food chinese range _( moderate price )_ )_ )_ new_sent located _( it riverside )_ new_sent 1 _( it 5 _( rating customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food Chinese,1,price Range high,1,customer rating 1 out of 5,1,area city centre,1,family Friendly no,2,near xnear,,added,,1,1,0,0,
shop _( xname coffee providing _( food chinese range _( price high )_ )_ )_ new_sent located _( it centre city )_ new_sent xnear it new_sent 1 _( it 5 _( rating customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food Chinese,1,price Range moderate,1,customer rating 1 out of 5,1,area city centre,1,near xnear,1,added,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( moderate price )_ )_ )_ new_sent located _( it centre city )_ new_sent xnear it new_sent 1 _( it 5 _( rating customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food English,2,price Range high,2,customer rating average,2,area riverside,2,family Friendly yes,1,near xnear,1,added,,4,1,0,0,
shop _( xname friendly family coffee located xnear )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food Chinese,1,customer rating high,1,area riverside,1,family Friendly yes,2,near xnear,1,added,,,,1,1,0,0,
shop _( xname coffee providing _( food chinese )_ )_ new_sent located _( it riverside )_ new_sent xnear it new_sent high _( it rating customer )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food Chinese,1,price Range high,1,customer rating average,1,area city centre,1,family Friendly yes,2,added,,,,1,1,0,0,
shop _( xname coffee providing _( food chinese range _( price high )_ )_ )_ new_sent located _( it centre city )_ new_sent average _( rating _( its customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,customer rating high,1,area riverside,1,added,,,,,,,,,,,,0,0,0,0,
restaurant _( xname rated high riverside )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,customer rating high,1,family Friendly yes,1,added,,,,,,,,,,,,0,0,0,0,
restaurant _( xname friendly kid rating _( high customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food Chinese,1,price Range less than £ 20,1,area city centre,1,near xnear,1,added,,,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( £ _( less 20 )_ price )_ )_ )_ new_sent located _( it centre city )_ new_sent xnear it,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food Chinese,1,price Range cheap,1,customer rating 5 out of 5,1,family Friendly no,2,added,,,,,,1,1,0,0,
shop _( xname coffee providing _( food chinese range _( cheap price )_ )_ )_ new_sent 5 _( it rating customer 5 )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food English,1,price Range cheap,1,area riverside,1,near xnear,1,added,,,,,,0,0,0,0,
shop _( xname coffee serves _( food _( cheap english )_ )_ )_ new_sent located _( it riverside xnear )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,customer rating low,1,area city centre,1,family Friendly no,1,near xnear,1,added,,,,,,,,0,0,0,0,
located _( xname xnear centre city )_ new_sent friendly _( it not family has _( and rating _( low customer )_ )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food Chinese,1,customer rating average,1,area riverside,1,family Friendly yes,2,added,,,,,,1,1,0,0,
shop _( xname coffee providing _( food chinese )_ )_ new_sent located _( it riverside )_ new_sent average _( rating _( its customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food English,1,price Range less than £ 20,1,customer rating low,1,area city centre,1,family Friendly no,2,near xnear,1,added,,1,1,0,0,
shop _( xname coffee providing _( food english range _( £ _( less 20 )_ price )_ )_ )_ new_sent located _( it centre city )_ new_sent xnear it new_sent low _( it rating customer )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food Chinese,1,price Range moderate,1,customer rating 1 out of 5,1,family Friendly no,2,added,,,,,,1,1,0,0,
shop _( xname coffee providing _( food chinese range _( moderate price )_ )_ )_ new_sent 1 _( it 5 _( rating customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food English,1,price Range cheap,1,customer rating average,1,area riverside,1,near xnear,1,added,,,,0,0,0,0,
shop _( xname coffee serves _( food english )_ )_ new_sent located _( it xnear riverside )_ new_sent has _( it range _( cheap price rating _( and average customer )_ )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,customer rating 5 out of 5,1,area riverside,1,family Friendly no,1,near xnear,1,added,,,,,,,,0,0,0,0,
located _( xname riverside xnear )_ new_sent has _( it rating _( customer 5 5 )_ friendly _( and not family )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food Chinese,1,price Range moderate,1,customer rating 3 out of 5,1,area city centre,1,family Friendly yes,2,added,,,,1,1,0,0,
shop _( xname coffee providing _( food chinese range _( moderate price )_ )_ )_ new_sent located _( it centre city )_ new_sent 3 _( it rating customer 5 )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,customer rating low,1,area city centre,1,added,,,,,,,,,,,,0,0,0,0,
located _( xname centre city )_ new_sent has _( it rating _( low customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food Chinese,1,price Range less than £ 20,1,customer rating low,1,area city centre,1,family Friendly no,2,near xnear,1,added,,1,1,0,0,
shop _( xname coffee providing _( food chinese range _( £ _( less 20 )_ price )_ )_ )_ new_sent located _( it centre city )_ new_sent xnear it new_sent low _( it rating customer )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,customer rating 5 out of 5,1,area riverside,1,family Friendly no,1,added,,,,,,,,,,0,0,0,0,
restaurant _( xname rated highly riverside )_ new_sent friendly _( it not family )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,customer rating low,1,area riverside,1,family Friendly no,1,near xnear,1,added,,,,,,0,0,0,0,
shop _( xname coffee xnear area riverside )_ new_sent friendly _( it not family has _( and rating _( low customer )_ )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food English,1,price Range cheap,1,customer rating 5 out of 5,1,area riverside,1,family Friendly no,1,added,,,,0,0,0,0,
shop _( xname coffee serving _( food _( cheap english )_ riverside )_ )_ new_sent friendly _( it not family has _( and rating _( customer 5 5 )_ )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food English,1,price Range high,1,customer rating average,1,area riverside,1,family Friendly no,1,near xnear,1,added,,0,0,0,0,
shop _( xname coffee xnear area riverside )_ new_sent serves _( it food english range _( high price )_ has _( and rating _( average customer )_ )_ )_ new_sent friendly _( it not children )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,customer rating average,1,area riverside,1,family Friendly no,1,added,,,,,,,,,,0,0,0,0,
has _( xname rating _( average customer )_ friendly _( and not family )_ )_ new_sent located _( it riverside )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food Chinese,1,customer rating low,1,area city centre,1,family Friendly no,2,near xnear,1,added,,,,1,1,0,0,
shop _( xname coffee providing _( food chinese )_ )_ new_sent located _( it centre city )_ new_sent xnear it new_sent low _( it rating customer )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food Chinese,1,price Range £ 20 - 25,1,customer rating high,1,area riverside,1,family Friendly no,2,near xnear,1,added,,1,1,0,0,
shop _( xname coffee providing _( food chinese range _( £ _( 20 25 )_ price )_ )_ )_ new_sent located _( it riverside )_ new_sent xnear it new_sent high _( it rating customer )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food Chinese,1,customer rating 5 out of 5,1,area city centre,1,near xnear,1,added,,,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese )_ )_ new_sent located _( it centre city )_ new_sent xnear it new_sent 5 _( it rating customer 5 )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food Chinese,1,price Range cheap,1,customer rating 5 out of 5,1,family Friendly yes,2,near xnear,1,added,,,,1,1,0,0,
shop _( xname coffee providing _( food chinese range _( cheap price )_ )_ )_ new_sent xnear it new_sent 5 _( it rating customer 5 )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food Chinese,1,price Range high,1,customer rating 1 out of 5,1,family Friendly yes,2,near xnear,1,added,,,,1,1,0,0,
shop _( xname coffee providing _( food chinese range _( price high )_ )_ )_ new_sent xnear it new_sent 1 _( it 5 _( rating customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food English,1,price Range high,1,area riverside,1,family Friendly yes,1,near xnear,1,added,,,,0,0,0,0,
shop _( xname friendly child coffee serving _( food english range _( price high )_ )_ )_ new_sent located _( it riverside xnear )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food Chinese,1,price Range more than £ 30,1,area riverside,1,family Friendly yes,1,near xnear,1,added,,,,0,0,0,0,
